"filename","label","transcription","split"
"55ea70ba-9ce28715.mp3","anger","¿Me puede decir usted, señor Marlaska, dónde lleva metido estos tres días que hay disturbios en la calle? Le exigí al señor Torra que condenara la violencia de manera firme, rotunda, sin adjetivos ni medias tintas. Palabras que yo comparto al cien por cien con usted, señor Marlaska.","train"
"3ee10d97-5da0f82c.mp3","anger","¿Un señor que deseaba que le volaran la nuca a los cargos del Partido Popular? Mírenle a la cara a mis compañeros.","train"
"a7b07571-e638f157.mp3","sadness","Frente a las 28.000 víctimas que reconoce el Gobierno, el Instituto Nacional de Estadística, el Instituto Carlos III y la patronal a las funerarias coinciden en que entre marzo y junio murieron en España unas 45.000 personas más de lo previsto.","test"
"2e09e30e-369d8e36.mp3","sadness","Esos 17.000 españoles, si no murieron por la pandemia, ¿por qué murieron? Responsabilidad de otros, nunca asumen la suya. Mire, señora Calvo, ustedes mienten las aviendas.","train"
"c235a8d2-75ab9245.mp3","sadness","No se trata de un debate técnico sobre quién es o no una víctima del Covid, sino de un hecho incontestable. Lo repito, en España durante esta tristísima primavera han muerto 45.000 españoles de más.","train"
"2bcb4219-fcb34450.mp3","anger","porque toda España ha visto como el condenado Chávez se reunía con el ministro de Justicia, que le pedía un indulto, ayuda con recurso...","train"
"ef4ff8e3-42137657.mp3","anger","que aparte del señor Sicilia, que era de los Eres, tres ministros actuales eran consejeros también.","train"
"2744a39e-4f59eb8a.mp3","anger","fallecidos. ¿Por qué somos el país con más sanitarios contagiados?","train"
"d5d33a37-fb297514.mp3","anger","Señor Sánchez, quedan muchas incógnitas que usted todavía tiene que despejar sobre las investigaciones del CNI tras el cese de su directora. Lo que no puede negar es que, como presidente, usted estaba al corriente.","train"
"6a0c6d17-7552b00f.mp3","anger","Y una de las dudas que todo el mundo tiene y que usted tiene que aclarar es, sabiendo lo que usted sabía, qué tipo de relación política estableció con los investigados y a qué acuerdos llegó con ellos. Esta es la clave y esto es lo que hoy le preguntamos.","train"
"2461d74f-d6e562e9.mp3","anger","Falso. Falso es falso. Por eso mañana...","train"
"3fd9a71b-8c67b673.mp3","anger","Señor Sánchez, hoy vuelve a ocupar el escaño de presidente del Gobierno tras cesar ayer a la directora del CNI, quedando claro que aquí gobiernan los independentistas.","train"
"5586564b-130c69e1.mp3","anger","Cuando salga de la Moncloa, que está cerca, no solo dejará una grave crisis económica, a lo que ya estamos acostumbrados cuando gobierna el Partido Socialista, dejará también una dura y difícil crisis institucional, que será más difícil de revertir.","train"
"65459bf8-ff8b0eab.mp3","anger","y acordarse de los médicos a los que tiene absolutamente abandonados durante meses que tenían que ponerse bolsas de basura para protegerse","train"
"467500ba-107d6f83.mp3","anger","después de haber tenido pufos en los test, pufos en las mascarillas, después de haber dicho que no eran necesarias para ir por la calle, y ahora no las quieren meter hasta en la playa.","test"
"52ebc839-83b0a01b.mp3","anger","Señor Sánchez, las urnas constataron que el Gobierno Frankenstein es un proyecto fracasado y agotado. ¿Y usted cómo responde? Con más de lo mismo, con la ideología por encima de la economía.","test"
"67f3fd40-7bdba8d3.mp3","anger","No ha entendido nada. Por eso ustedes intentaron ayer resucitar la Ley de Memoria Democrática y, a última hora, reactivar la mal llamada Mesa del Diálogo de Cataluña.","train"
"31875608-f05805d9.mp3","anger","Nosotros sí, y además los españoles lo esperan. La próxima semana además es la cumbre de la OTAN y no cuenta ni tan siquiera con el apoyo de todo su Gobierno.","train"
"449ed202-7d6412cd.mp3","anger","¿Cómo valora los informes de la AIREF y del Banco de España sobre la economía española? Pues mire, señor Sánchez, le quedan 24 horas.","test"
"8aeeb35a-6246b28e.mp3","anger","están sufriendo una pérdida de poder adquisitivo de 16.700 millones de euros este año. Esto sucede mientras solo con la recaudación de enero y febrero el Gobierno ha recaudado 7.500 millones de euros más. Es decir,","train"
"744c39de-0c08a815.mp3","anger","¿De verdad no va a tener ni un solo minuto para que pactemos de flactar la tarifa del IRPF en los tres primeros tramos, es decir, los de las rentas bajas y medias?","test"
"a9360b8b-3dea9bd7.mp3","anger","Como diría usted, ¿qué coño tiene que pasar en España para que usted asuma alguna responsabilidad? Usted es padre y yo también.","train"
"c4ee4b62-712ec5c4.mp3","anger","que hoy sigue matando a medio centenar de españoles todos los días, el Helicóptero y Falco me imagino que le habrán contado que hoy se bate el récord histórico del precio de la lista.","train"
"d1a8cc4f-47b251da.mp3","anger","Con el historial de Podemos es normal que lo único que le preocupe sea controlar a los jueces. Por eso se pasa usted el día conspirando contra el Consejo General del Poder Judicial y no ha dedicado ni una hora a ocuparse de las residencias de mayores.","train"
"b1cc57c7-4a0e05b4.mp3","anger","El informe de la Young Hoskin que lleva la subjetión, falso. El Comité de Expertos de la Desescalada, falso. La mascarilla no es necesaria.","train"
"f949a05c-182b09f7.mp3","anger","Hoy usted marca la batuta, se ha acordado en el CNI, ha convertido televisión española en la tuerca, se gasta 43.000 euros diarios en un programa y la gente no cobra el ingreso mínimo vital.","train"
"c6ca7cc8-791a253d.mp3","joy","Queremos recuperar ese espíritu de España suma.","train"
"83b46b2f-c69b1525.mp3","joy","Y por eso queremos recuperar el espíritu positivo de este salón del Tinel, precisamente porque es el escenario de uno de los acontecimientos más tristes de la historia del Partido Socialista.","train"
"f2767d13-97436bf5.mp3","joy","Lo que quieren es que siga Sánchez por eso mismo, porque tienen esperanzas. Y yo estoy convencido de que ahora es la hora de España y de Cataluña.","train"
"33e2071f-bda3eb88.mp3","anger","Ya está bien de juego sucio de Sánchez, ya está bien de utilizar el BOE y el Consejo de Ministros","train"
"04474963-84f51899.mp3","anger","para hacer anuncios en plena campaña electoral. Vamos a recurrir a la Junta Electoral","train"
"a0655dc6-27790734.mp3","anger","para que Sánchez deje de utilizar el dinero de los españoles para comprar votos para el PSOE. Sánchez es el único presidente de la historia de España condenado por la junta electoral. Con esos supuestos, viernes sociales que eran electorales haciendo anuncios","test"
"8ca76ae7-c44907ae.mp3","joy","Donald Tusk defendió siempre a España frente al independentismo. Por eso, querido Donald, eres una referencia para nosotros de gobierno, pero sobre todo eres un líder en la defensa de las libertades","train"
