text,class,typetext
Siento que el cuerpo ya no me da para más; la espalda me mata cada vez que tengo que moverlo de la cama y no tengo a nadie que me dé un relevo.,Sobrecarga,Fatiga crónica
A veces me sorprendo gritándole por cualquier tontería y luego me siento fatal; pero es que esta rutina me tiene desquiciada.,Sobrecarga,Irritabilidad
No recuerdo la última vez que salí a tomar un café con una amiga. Mi vida se resume en médicos; pañales y medicinas.,Sobrecarga,Aislamiento
Es agotador estar las 24 horas pendiente de otra persona; siento que he dejado de existir como individuo.,Sobrecarga,Falta de tiempo personal
Mis hermanos se desentienden totalmente y yo tengo que cargar con todo el peso del cuidado de mi madre.,Sobrecarga,Sensación de abandono
Me duele todo el cuerpo; especialmente la zona lumbar; de tanto esfuerzo físico diario sin descanso.,Sobrecarga,Dolor físico
Ya no tengo energía ni para ducharme; solo quiero que el día termine pronto para cerrar los ojos.,Sobrecarga,Agotamiento extremo
La casa se me cae encima. No tengo un minuto de silencio ni de paz desde que asumí el cuidado.,Sobrecarga,Pérdida de intimidad
Me siento tan sola en esta casa; como si el mundo de afuera siguiera funcionando y yo estuviera atrapada en un bucle.,Depresión,Aislamiento
A veces me pregunto si esto tiene algún sentido; me invade una tristeza profunda al ver cómo se apaga su mirada.,Depresión,Desesperanza
Tengo un nudo en el pecho constante y lloro a escondidas en el baño para que no me vea; no puedo más.,Depresión,Llanto frecuente
Me siento una mala persona por desear que esto acabe pronto; esa culpa no me deja vivir.,Depresión,Culpa
He perdido el interés por todo lo que antes me gustaba; nada me hace ilusión; solo vivo en automático.,Depresión,Anhedonia
A veces me quedo mirando a la pared sin pensar en nada; simplemente vacía; como si mi alma se hubiera ido.,Depresión,Apatía
No tengo fuerzas ni para cocinarme algo decente. Como cualquier cosa por pura inercia.,Depresión,Descuido personal
Siento que he fracasado como hija porque no soy capaz de llevar esto con la alegría que debería.,Depresión,Baja autoestima
No pego ojo en toda la noche pensando en qué pasará con él si a mí me sucede algo mañana.,Ansiedad,Preocupación incontrolable
Cualquier ruido que hace en la otra habitación me pone el corazón a mil; vivo en un estado de alerta constante.,Ansiedad,Hipervigilancia
Me despierto a las tres de la mañana con taquicardia; repasando mentalmente si le di todas las pastillas correctamente.,Ansiedad,Insomnio
Me aterra pensar en el futuro; en cuánto tiempo más podremos aguantar así antes de que todo colapse.,Ansiedad,Miedo al futuro
Siento una presión en el pecho cada vez que el médico me llama para darme los resultados de sus pruebas.,Ansiedad,Sintomatología somática
Tengo miedo de no ser lo suficientemente fuerte para lo que viene. La incertidumbre me está matando.,Ansiedad,Incertidumbre
A veces siento que me falta el aire cuando pienso en todo lo que tengo pendiente por hacer hoy.,Ansiedad,Ataque de pánico
Repaso las dosis de los medicamentos una y otra vez; me da pánico equivocarme y causarle algún daño.,Ansiedad,Rumiación
Aunque es duro; ver que hoy ha sonreído un poco me da las fuerzas necesarias para seguir adelante mañana.,Resiliencia,Satisfacción por cuidar
He aprendido a valorar las pequeñas cosas; como un ratito de sol en el patio mientras ella descansa.,Resiliencia,Aceptación
Cuidar de mi padre es lo más difícil que he hecho; pero también lo que más me ha enseñado sobre el amor.,Resiliencia,Crecimiento personal
Me he organizado mejor con los horarios y ahora consigo sacar diez minutos para leer; eso me da la vida.,Resiliencia,Autocuidado
Siento una paz profunda al saber que está en las mejores manos; que son las mías; a pesar del cansancio.,Resiliencia,Sentido del deber cumplido
He encontrado un grupo de apoyo de otros cuidadores y hablar con ellos me hace sentir que no estoy sola.,Resiliencia,Conexión social
A pesar de la enfermedad; todavía tenemos momentos de conexión que son verdaderos regalos para mí.,Resiliencia,Vínculo afectivo
Me siento orgullosa de la paciencia que estoy desarrollando; nunca pensé que sería capaz de tanto.,Resiliencia,Fortaleza personal
Me siento muy orgulloso de cómo logré calmarlo hoy usando la música,Resiliencia,Satisfacción por cuidar
Hoy mi hermana vino a relevarme y pude salir a caminar un rato por el parque,Resiliencia,Apoyo social
Me siento tranquilo después de haber organizado todas las medicinas de la semana,Resiliencia,Aceptación
Dormir ocho horas seguidas me ha hecho recuperar la alegría y me siento con energía,Resiliencia,Descanso reparador
He aprendido a respirar profundo cuando hay crisis y me siento mucho más paciente,Resiliencia,Paciencia
Me siento agradecido por los consejos que recibí en el grupo de apoyo de cuidadores,Resiliencia,Apoyo social
Hoy preparé su comida favorita y ver su sonrisa me hace sentir realizado,Resiliencia,Satisfacción por cuidar
Me siento fuerte después de retomar mi rutina de ejercicios en la mañana,Resiliencia,Autocuidado
Acepto que hay días difíciles pero hoy me siento con control sobre la situación,Resiliencia,Aceptación
Pude leer mi libro favorito durante la siesta de mi padre y me siento renovada,Resiliencia,Autocuidado
Me siento motivado al ver que la terapia física está dando pequeños resultados,Resiliencia,Satisfacción por cuidar
Gracias al apoyo de mis vecinos hoy pude hacer las compras sin prisas,Resiliencia,Apoyo social
Me siento en paz conmigo misma por el amor que entrego cada día en casa,Resiliencia,Aceptación
Anoche descansé de maravilla y hoy me siento capaz de afrontar cualquier reto,Resiliencia,Descanso reparador
He dejado de juzgarme por mis errores y ahora me siento mucho más ligera,Resiliencia,Aceptación
Me siento afortunada de tener una red de amigos que siempre me llaman,Resiliencia,Apoyo social
Hoy tuvimos una tarde tranquila viendo fotos viejas y me siento muy conectada,Resiliencia,Satisfacción por cuidar
Me siento feliz de haber recuperado mi espacio para pintar los fines de semana,Resiliencia,Autocuidado
La paciencia ha sido mi mejor aliada hoy y por eso me siento serena,Resiliencia,Paciencia
Me siento optimista porque hemos encontrado una rutina que funciona para ambos,Resiliencia,Satisfacción por cuidar
